time|pressure
 3644093154.8084812164 |   710086
 3644093155.8085951805 |   710087
 3644093156.8086042404 |   710088
 3644093157.8087182045 |   710089
 3644093158.8087282181 |   710088
 3644093159.8086333275 |   710088
 3644093160.8086423874 |   710088
 3644093161.8086533546 |   710087
 3644093162.8086619377 |   710088
 3644093163.8085670471 |   710088
 3644093164.8085770607 |   710088
 3644093165.8086910248 |   710087
 3644093166.8087000847 |   710089
 3644093167.8088140488 |   710089
 3644093168.8088240623 |   710089
 3644093169.8087282181 |   710090
 3644093170.8087382317 |   710090
 3644093171.8086433411 |   710089
 3644093172.8087573051 |   710087
 3644093173.8088712692 |   710087
 3644093174.8087773323 |   710086
 3644093175.8087863922 |   710085
 3644093176.8086910248 |   710084
 3644093177.8089103699 |   710084
 3644093178.8088140488 |   710084
 3644093179.8090333939 |   710085
 3644093180.8088340759 |   710086
   3644093181.80894804 |   710088
 3644093182.8088531494 |   710092
 3644093183.8089661598 |   710096
 3644093184.8087682724 |   710098
 3644093185.8089852333 |   710100
 3644093186.8089952469 |   710102
   3644093187.80890131 |   710101
 3644093188.8088059425 |   710098
 3644093189.8083992004 |   710095
 3644093190.8089289665 |   710089
 3644093191.8090429306 |   710083
 3644093192.8090529442 |   710079
 3644093193.8090610504 |   710074
 3644093194.8090720177 |   710073
 3644093195.8089771271 |   710074
  3644093196.808986187 |   710078
 3644093197.8089962006 |   710083
 3644093198.8090062141 |   710091
 3644093199.8091201782 |   710100
 3644093200.8094410896 |   710106
 3644093201.8085131645 |   710112
 3644093202.8090443611 |   710115
 3644093203.8090529442 |   710114
 3644093204.8090629578 |   710110
 3644093205.8090720177 |   710103
 3644093206.8094992638 |   710095
 3644093207.8091950417 |   710085
 3644093208.8096222878 |   710077
 3644093209.8091111183 |   710069
 3644093210.8092241287 |   710065
 3644093211.8092341423 |   710066
 3644093212.8095550537 |   710071
 3644093213.8094611168 |   710078
 3644093214.8087410927 |   710087
 3644093215.8088550568 |   710098
 3644093216.8087611198 |   710109
 3644093217.8088741302 |   710116
 3644093218.8087792397 |   710120
 3644093219.8092060089 |   710119
 3644093220.8087983131 |   710116
 3644093221.8088083267 |   710107
 3644093222.8088183403 |   710097
 3644093223.8095560074 |   710086
  3644093224.808836937 |   710075
 3644093225.8095760345 |   710067
 3644093226.8095850945 |   710061
 3644093227.8088669777 |   710060
 3644093228.8088760376 |   710063
 3644093229.8093013763 |   710069
 3644093230.8087902069 |   710078
  3644093231.808904171 |   710087
 3644093232.8096423149 |   710098
  3644093233.809756279 |   710108
 3644093234.8090362549 |   710115
 3644093235.8090462685 |   710118
